iter	RMSE
0	1871.126061
1	1190.025852
2	862.3700029
3	691.0524644
4	620.9837424
5	584.3922642
6	560.8635569
7	546.9479541
8	520.1868146
9	504.5470862
10	485.3793278
11	473.8297792
12	460.0467252
13	452.402522
14	443.8441289
15	436.218767
16	425.9607582
17	418.5197886
18	412.5388151
19	407.0487249
20	403.6990501
21	400.6094218
22	391.8637268
23	389.1475644
24	386.8063785
25	384.7840051
26	382.0904344
27	380.6625845
28	370.5290137
29	362.9547636
30	358.5648477
31	353.2179122
32	350.5814228
33	345.7015155
34	343.3390397
35	333.2155575
36	331.0879824
37	321.757879
38	320.1821524
39	319.1576621
40	315.4111305
41	307.5621852
42	304.0083192
43	302.9752554
44	298.6416383
45	296.8072893
46	295.7158886
47	292.7401994
48	289.5866624
49	285.1483904
