iter	Passed	Remaining
0	224	11020
1	259	6221
2	327	5123
3	387	4450
4	426	3838
5	465	3416
6	504	3096
7	546	2870
8	600	2733
9	629	2518
10	663	2354
11	715	2267
12	773	2200
13	819	2106
14	868	2025
15	916	1948
16	958	1861
17	992	1764
18	1024	1671
19	1057	1585
20	1081	1494
21	1105	1407
22	1127	1323
23	1149	1245
24	1173	1173
25	1196	1104
26	1221	1040
27	1246	979
28	1271	920
29	1293	862
30	1318	808
31	1340	753
32	1365	703
33	1390	654
34	1423	610
35	1456	566
36	1482	520
37	1500	473
38	1519	428
39	1547	386
40	1567	344
41	1590	303
42	1610	262
43	1641	223
44	1681	186
45	1710	148
46	1750	111
47	1778	74
48	1800	36
49	1823	0
